file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit10,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit11,ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit12,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit13,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit14,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit15,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit16,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit17,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit18,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit19,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit20,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit21,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit22,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit23,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit24,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit25,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit26,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit27,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit28,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit29,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit30,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit31,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit32,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit33,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit34,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit35,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit36,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit37,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit38,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit39,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit40,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit41,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit42,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit43,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit44,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit45,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit46,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit47,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit48,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit49,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit50,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit51,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit52,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit53,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit54,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit55,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit56,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit57,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit58,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit59,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit60,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit61,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),PAYNE Julie (UG),PAYNE Julie (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit62,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit63,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit64,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit65,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit66,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit67,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit68,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit69,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit70,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit71,ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit72,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit73,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit74,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit75,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit76,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit77,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit78,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit79,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit80,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit81,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit82,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit83,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit84,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit85,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit86,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
