election,complete,incomplete
Minneapolis_11022021_CityCouncilWard12.csv,16.6,83.4
Minneapolis_11022021_CityCouncilWard7.csv,0.0,100.0
Minneapolis_11022021_CityCouncilWard6.csv,26.4,73.6
Minneapolis_11072017_Ward2CityCouncil.csv,100.0,0.0
Minneapolis_11022021_CityCouncilWard13.csv,0.0,100.0
Minneapolis_11072017_Ward3CityCouncil.csv,0.0,100.0
Minneapolis_11022021_CityCouncilWard2.csv,0.0,100.0
Minneapolis_11022021_CityCouncilWard3.csv,0.0,100.0
Minneapolis_11072017_Ward4CityCouncil.csv,0.0,100.0
Minneapolis_11022021_CityCouncilWard1.csv,0.0,100.0
Minneapolis_11052013_Mayor.csv,0.0,100.0
Minneapolis_11072023_CityCouncilWard8.csv,0.0,100.0
Minneapolis_11062009_Ward12CityCouncil.csv,0.0,100.0
Minneapolis_11072023_CityCouncilWard5.csv,28.0,72.0
Minneapolis_11072017_PRBoardDistrict3.csv,29.1,70.9
Minneapolis_11072017_PRBoardDistrict2.csv,51.3,48.7
Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,0.0,100.0
Minneapolis_11072023_CityCouncilWard4.csv,0.0,100.0
Minneapolis_11062009_Ward7CityCouncil.csv,15.8,84.2
Minneapolis_11052013_ParkRecBoardAtLarge.csv,0.0,100.0
Minneapolis_11072023_CityCouncilWard6.csv,0.0,100.0
Minneapolis_11062009_Ward8CityCouncil.csv,0.0,100.0
Minneapolis_11062009_Mayor.csv,0.0,100.0
Minneapolis_11072017_Ward12CityCouncil.csv,26.2,73.8
Minneapolis_11052013_Ward9CityCouncil.csv,0.0,100.0
Minneapolis_11072017_PRBoardDistrict1.csv,41.3,58.7
Minneapolis_11072023_CityCouncilWard7.csv,36.2,63.8
Minneapolis_11072017_PRBoardDistrict5.csv,38.1,61.9
Minneapolis_11062009_Ward1CityCouncil.csv,0.0,100.0
Minneapolis_11062009_Ward9CityCouncil.csv,0.0,100.0
Minneapolis_11072017_PRBoardDistrict4.csv,44.9,55.1
Minneapolis_11062009_MinneapolisParkRecBoard.csv,0.0,100.0
Minneapolis_11072017_Ward13CityCouncil.csv,24.3,75.7
Minneapolis_11022021_CityCouncilWard8.csv,6.9,93.1
Minneapolis_11062009_Ward6CityCouncil.csv,0.0,100.0
Minneapolis_11072017_PRBoardDistrict6.csv,0.0,100.0
Minneapolis_11022021_CityCouncilWard9.csv,0.0,100.0
Minneapolis_11052013_Ward13CityCouncil.csv,0.0,100.0
Minneapolis_11062009_Ward4CityCouncil.csv,0.0,100.0
Minneapolis_11052013_Ward5CityCouncil.csv,0.0,100.0
Minneapolis_11022021_ParkBoardDistrict3.csv,21.3,78.7
Minneapolis_11062009_Ward3CityCouncil.csv,0.0,100.0
Minneapolis_11022021_ParkBoardDistrict1.csv,100.0,0.0
Minneapolis 2013-board of estimation and taxation cvr.csv,0.0,100.0
Minneapolis_11072017_Ward11CityCouncil.csv,50.9,49.1
Minneapolis_11072017_Ward10CityCouncil.csv,0.0,100.0
Minneapolis_11022021_ParkBoardDistrict4.csv,31.4,68.6
Minneapolis_11062009_Ward2CityCouncil.csv,16.3,83.7
Minneapolis_11022021_ParkBoardDistrict5.csv,23.8,76.2
Minneapolis_11062009_Ward5CityCouncil.csv,0.0,100.0
Minneapolis_11022021_ParkBoardDistrict6.csv,0.0,100.0
PierceCounty_11042008_CountyExecutiveMember.csv,0.0,100.0
PierceCounty_11032009_CountyAuditor.csv,50.4,49.6
PierceCounty_11042008_CountyAssessorTreasurer.csv,0.0,100.0
PierceCounty_11042008_CountyCouncilDistrict2.csv,42.1,57.9
Portland_D1_2024.csv,0.0,100.0
Portland_D3_2024.csv,0.0,100.0
Portland_D2_2024.csv,0.0,100.0
PortlandOR_110524_Mayor.csv,0.0,100.0
Portland_D4_2024.csv,0.0,100.0
Portland_06142022_SchoolboardAL-1.csv,17.9,82.1
Portland_06142022_Schoolboarddistrict5-1.csv,0.0,100.0
Portland_06082021_charter_commission_at_large.csv,0.0,100.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,71.2,28.8
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,73.5,26.5
Maine_11082022_CongressionalDistrict2.csv,25.5,74.5
Maine_11062018_CongressionalDistrict2.csv,26.5,73.5
Maine_06122018_DemocraticPrimaryforCD2.csv,34.3,65.7
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,72.1,27.9
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,53.7,46.3
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,72.4,27.6
Maine_06122018_DemocraticPrimaryforGovernor.csv,32.5,67.5
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,68.8,31.2
TakomaPark_11082022_Mayor.csv,53.5,46.5
TakomaPark_11082022_CityCouncilWard4.csv,100.0,0.0
TakomaPark_11082022_CityCouncilWard5.csv,52.4,47.6
TakomaPark_11082022_CityCouncilWard6.csv,42.3,57.7
TakomaPark_11082022_CityCouncilWard2.csv,100.0,0.0
TakomaPark_11082022_CityCouncilWard3.csv,52.7,47.3
TakomaPark_11082022_CityCouncilWard1.csv,46.2,53.8
Bloomington_11072023_SpecialCityCouncilAtLarge.csv,12.3,87.7
Bloomington_11072023_CityCouncilDistrict4.csv,12.8,87.2
Springville_11022021_Mayor.csv,71.7,28.3
WoodlandHills_11022021_CityCouncil.csv,60.6,39.4
Springville_11022021_CityCouncil4yr.csv,70.7,29.3
WoodlandHills_11022021_Mayor.csv,60.0,40.0
Vineyard_11022021_CityCouncil.csv,40.2,59.8
Genola_11022021_CityCouncil.csv,83.1,16.9
Vineyard_11052019_CityCouncil.csv,58.5,41.5
Moab_11022021_CityCouncil.csv,5.5,94.5
Payson_11052019_CityCouncil.csv,71.9,28.1
ElkRidge_11022021_Mayor.csv,73.9,26.1
Lehi_11022021_CityCouncil.csv,64.7,35.3
Vineyard_11022021_Mayor.csv,75.0,25.0
Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,0.0,100.0
Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,0.0,100.0
Minnetonka_11072023_CityCouncilWard4.csv,32.8,67.2
Minnetonka_11072023_CityCouncilWard1.csv,0.0,100.0
Minnetonka_11072023_CityCouncilWard3.csv,32.5,67.5
Minnetonka_11022021_Mayor.csv,23.8,76.2
Burlington_03072023_CityCouncilEastDistrict.csv,52.9,47.1
Burlington_03052024_Mayor.csv,18.3,81.7
Burlington_03072006_Mayor.csv,0.0,100.0
Burlington_03072023_CityCouncilSouthDistrict.csv,41.5,58.5
Burlington_03072023_CityCouncilCentralDistrict.csv,53.1,46.9
Burlington_03072023_CityCouncilNorthDistrict.csv,100.0,0.0
Burlington_03032009_Mayor.csv,30.2,69.8
APA 2002.csv,60.2,39.8
APA 2003.csv,21.0,79.0
APA 2001.csv,57.1,42.9
APA 2000.csv,55.6,44.4
APA 2004.csv,57.8,42.2
APA 2018 President.csv,53.0,47.0
APA 2005.csv,57.5,42.5
APA 2021 President.csv,48.5,51.5
APA 2007.csv,61.6,38.4
APA 2006.csv,58.9,41.1
APA 1999.csv,59.2,40.8
APA 1998.csv,57.2,42.8
APA 2021 BOD race1.csv,61.0,39.0
APA 2018 BOD race1.csv,59.6,40.4
APA 2021 BOD race2.csv,58.8,41.2
APA 2018 BOD race2.csv,64.5,35.5
APA 2019 BOD race1.csv,59.0,41.0
APA 2020 BOD race1.csv,65.6,34.4
APA 2019 BOD race2.csv,61.2,38.8
APA 2020 BOD race2.csv,66.1,33.9
APA 2017 President.csv,55.1,44.9
APA 2020 President.csv,53.7,46.3
APA 2019 President.csv,53.2,46.8
APA 2008.csv,53.6,46.4
APA 2009.csv,58.0,42.0
APA 2017 BOD race2.csv,78.4,21.6
APA 2017 BOD race1.csv,79.5,20.5
Easthampton_11022021_Mayor.csv,0.0,100.0
Oakland_11042014_SchoolDirectorDistrict2.csv,45.7,54.3
Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,39.5,60.5
Berkeley_11042014_CityAuditor.csv,100.0,0.0
Berkeley_11042014_CityCouncilDistrict8.csv,0.0,100.0
Oakland_11082016_CouncilAtLrg.csv,0.0,100.0
Berkeley_11062018_CityCouncilDistrict1.csv,0.0,100.0
Oakland_11062012_CityAttorney.csv,46.8,53.2
Berkeley_11082016_Mayor.csv,0.0,100.0
SanLeandro_11062018_Mayor.csv,0.0,100.0
Oakland_11022010_SchoolDirectorDistrict6.csv,100.0,0.0
Oakland_11022010_SchoolDirectorDistrict4.csv,55.5,44.5
Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,24.7,75.3
Oakland_11042014_SchoolDirectorDistrict4.csv,0.0,100.0
Oakland_11082022_CityAuditor.csv,100.0,0.0
Berkeley_11062018_CityCouncilDistrict7.csv,59.3,40.7
Oakland_11022010_Mayor.csv,0.0,100.0
Berkeley_11052024_Mayor.csv,21.7,78.3
Oakland_11022010_SchoolDirectorDistrict2.csv,100.0,0.0
Oakland_11032020_MemberCityCouncilDist5OaklandRCV.csv,59.6,40.4
Oakland_11082022_Mayor.csv,0.0,100.0
Berkeley_11062018_CityCouncilDistrict4.csv,54.2,45.8
Oakland_11052024_CityAttorney.csv,45.3,54.7
Berkeley_03072017_CityCouncilDistrict4.csv,43.9,56.1
Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,41.1,58.9
Oakland_11032020_MemberCityCouncilDist1OaklandRCV.csv,53.5,46.5
Oakland_11042014_SchoolDirectorDistrict6.csv,51.6,48.4
Oakland_11082016_SchoolDirectorDistrict3.csv,0.0,100.0
Oakland_11032020_SchoolDirectorDist3OaklandRCV.csv,40.7,59.3
Berkeley_11052024_CityCouncilD6.csv,46.8,53.2
Oakland_11032020_SchoolDirectorDist7OaklandRCV.csv,51.0,49.0
Oakland_11062012_SchoolDirectorDistrict1.csv,43.7,56.3
Oakland_11062018_SchoolDirectorDistrict6.csv,0.6,99.4
Oakland_11062018_CityCouncilDistrict2.csv,40.5,59.5
SanLeandro_11042014_CountyCouncilDistrict5.csv,58.8,41.2
Berkeley_11052024_CityCouncilD5.csv,28.6,71.4
Oakland_11062018_SchoolDirectorDistrict4.csv,41.3,58.7
Oakland_11062012_SchoolDirectorDistrict3.csv,49.3,50.7
SanLeandro_11032020_MemberCityCouncilDist4SanLeandroRCV.csv,62.7,37.3
Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,41.6,58.4
Oakland_11082016_SchoolDirectorDistrict1.csv,36.0,64.0
Oakland_11042014_Mayor.csv,0.0,100.0
Berkeley_11022010_CityCouncilDistrict8.csv,49.9,50.1
Oakland_11082016_SchoolDirectorDistrict5.csv,0.0,100.0
Oakland_11062012_SchoolDirectorDistrict7.csv,50.8,49.2
SanLeandro_11042014_CountyCouncilDistrict1.csv,0.0,100.0
Oakland_11032020_CityAttorneyOaklandRCV.csv,63.6,36.4
Oakland_11062018_CityCouncilDistrict4.csv,0.0,100.0
Oakland_11062018_CityCouncilDistrict6.csv,0.0,100.0
SanLeandro_11042014_CountyCouncilDistrict3.csv,57.5,42.5
Oakland_11022010_CityAuditor.csv,58.7,41.3
Oakland_11062018_SchoolDirectorDistrict2.csv,100.0,0.0
Berkeley_11052024_CityCouncilD3.csv,39.2,60.8
Oakland_11062012_SchoolDirectorDistrict5.csv,48.5,51.5
Berkeley_11052024_CityCouncilD2.csv,46.7,53.3
Oakland_11082016_CityAttorney.csv,100.0,0.0
Oakland_11062018_CityAuditor.csv,44.4,55.6
Oakland_11082016_SchoolDirectorDistrict7.csv,49.9,50.1
Berkeley_11022010_CityCouncilDistrict7.csv,58.2,41.8
SanLeandro_11082016_CountyCouncilDistrict4.csv,100.0,0.0
SanLeandro_11042014_Mayor.csv,0.0,100.0
Oakland_11052024_CityCouncilD3.csv,0.0,100.0
Oakland_11082016_CityCouncilDistrict3.csv,50.1,49.9
Berkeley_11032020_MayorBerkeleyRCV.csv,31.0,69.0
SanLeandro_11062012_CountyCouncilDistrict6.csv,63.1,36.9
Oakland_11062012_CityCouncilDistrict3.csv,0.0,100.0
Oakland_11082022_Schoolboarddistrict2.csv,44.9,55.1
Oakland_11042014_CityCouncilDistrict2.csv,0.0,100.0
Berkeley_11022010_CityCouncilDistrict4.csv,0.0,100.0
Oakland_11062012_CityCouncilDistrict1.csv,0.0,100.0
SanLeandro_11062012_CountyCouncilDistrict4.csv,0.0,100.0
Berkeley_05282024_Citycouncildistrict4specialelection.csv,49.9,50.1
Oakland_11032020_SchoolDirectorDist5OaklandRCV.csv,53.5,46.5
Oakland_11082016_CityCouncilDistrict1.csv,35.5,64.5
Oakland_11052024_CityCouncilD1.csv,32.0,68.0
SanLeandro_11082016_CountyCouncilDistrict6.csv,100.0,0.0
Oakland_11032020_SchoolDirectorDist1OaklandRCV.csv,51.9,48.1
Berkeley_11022010_CityCouncilDistrict1.csv,0.0,100.0
SanLeandro_11082016_CountyCouncilDistrict2.csv,54.4,45.6
Berkeley_11062018_CityAuditor.csv,35.4,64.6
Oakland_11052024_CityCouncilD5.csv,45.5,54.5
Oakland_11082016_CityCouncilDistrict5.csv,46.8,53.2
Oakland_11032020_MemberCityCouncilAtLargeOaklandRCV.csv,55.1,44.9
Berkeley_11022010_CityAuditor.csv,100.0,0.0
Oakland_11062012_CityCouncilDistrict5.csv,0.0,100.0
Oakland_11042014_CityCouncilDistrict4.csv,44.5,55.5
Oakland_11082022_Schoolboarddistrict4.csv,44.1,55.9
Oakland_11042014_CityCouncilDistrict6.csv,0.0,100.0
Oakland_11082022_Schoolboarddistrict6.csv,49.1,50.9
Oakland_11062012_CityCouncilDistrict7.csv,46.5,53.5
SanLeandro_11062012_CountyCouncilDistrict2.csv,59.4,40.6
Oakland_11052024_CityCouncil_AtLarge.csv,0.0,100.0
Oakland_11082016_CityCouncilDistrict7.csv,48.2,51.8
Oakland_11052024_CityCouncilD7.csv,44.3,55.7
Berkeley_11042014_CityCouncilDistrict1.csv,40.9,59.1
SanLeandro_11032020_MemberCityCouncilDist6SanLeandroRCV.csv,100.0,0.0
Berkeley_11062018_CityCouncilDistrict8.csv,0.0,100.0
SanLeandro_11062018_CountyCouncilDistrict5.csv,56.6,43.4
SanLeandro_11022010_CountyCouncilDistrict5.csv,56.4,43.6
Oakland_11052024_School_Director_D3.csv,45.1,54.9
Oakland_11062012_CityCouncilAtLarge.csv,0.0,100.0
Oakland_11022010_CityCouncilDistrict4.csv,0.0,100.0
Oakland_11082022_CityCouncilmemberDistrict6.csv,37.1,62.9
Oakland_11082022_CityCouncilmemberDistrict4.csv,51.1,48.9
Berkeley_11082016_CityCouncilDistrict2.csv,50.2,49.8
Oakland_11022010_CityCouncilDistrict6.csv,53.5,46.5
Berkeley_11062012_CityCouncilDistrict3.csv,40.7,59.3
Oakland_11052024_School_Director_D1.csv,40.8,59.2
Oakland_11062018_Mayor.csv,0.0,100.0
Berkeley_11062012_Mayor.csv,0.0,100.0
Berkeley_11062012_CityCouncilDistrict2.csv,44.6,55.4
Oakland_11042014_CityAuditor.csv,51.9,48.1
Berkeley_11082016_CityCouncilDistrict3.csv,0.0,100.0
Berkeley_11042014_CityCouncilDistrict7.csv,45.0,55.0
Berkeley_11062012_CityCouncilDistrict6.csv,1.4,98.6
SanLeandro_11062018_CountyCouncilDistrict3.csv,60.2,39.8
Oakland_11032020_MemberCityCouncilDist3OaklandRCV.csv,0.0,100.0
Oakland_11052024_School_Director_D5.csv,54.4,45.6
SanLeandro_11022010_CountyCouncilDistrict3.csv,100.0,0.0
Oakland_11022010_CityCouncilDistrict2.csv,51.1,48.9
Oakland_11032020_MemberCityCouncilDist7OaklandRCV.csv,49.0,51.0
Berkeley_11082016_CityCouncilDistrict6.csv,41.6,58.4
SanLeandro_11022010_Mayor.csv,0.0,100.0
Berkeley_11062012_CityCouncilDistrict5.csv,37.2,62.8
SanLeandro_11022010_CountyCouncilDistrict1.csv,0.3,99.7
Oakland_11052024_School_Director_D7.csv,59.0,41.0
SanLeandro_11062018_CountyCouncilDistrict1.csv,54.8,45.2
Berkeley_11082016_CityCouncilDistrict5.csv,39.0,61.0
SanLeandro_11032020_MemberCityCouncilDist2SanLeandroRCV.csv,65.2,34.8
SanFrancisco_11022010_BoardofSupervisorsDistrict6.csv,0.0,100.0
SanFrancisco_11082016_BoardofSupervisorsDistrict7.csv,0.0,100.0
SanFrancisco_11052024_BoS_D7.csv,17.1,82.9
SanFrancisco_06052018_Mayor.csv,0.0,100.0
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT9.csv,0.0,100.0
SanFrancisco_11052024_BoS_D11.csv,16.5,83.5
SanFrancisco_11052024_BoS_D5.csv,16.2,83.8
SanFrancisco_11082016_BoardofSupervisorsDistrict5.csv,46.1,53.9
SanFrancisco_11062018_BoardofSupervisorsDistrict10.csv,0.0,100.0
SanFrancisco_11082005_AssessorRecorder.csv,0.0,100.0
SanFrancisco_11062018_BoardofSupervisorsDistrict8.csv,28.4,71.6
SanFrancisco_11082016_BoardofSupervisorsDistrict1.csv,0.0,100.0
SanFrancisco_11052019_CityAttorney.csv,100.0,0.0
SanFrancisco_11052024_BoS_D1.csv,13.5,86.5
SanFrancisco_11052024_Treasurer.csv,100.0,0.0
SanFrancisco_11042008_BoardofSupervisorsDistrict9.csv,0.0,100.0
SanFrancisco_11052024_BoS_D3.csv,15.3,84.7
SanFrancisco_11082022_PublicDefender.csv,45.6,54.4
SanFrancisco_11082016_BoardofSupervisorsDistrict3.csv,40.4,59.6
SanFrancisco_11052019_Treasurer.csv,100.0,0.0
SanFrancisco_11022010_BoardofSupervisorsDistrict2.csv,0.0,100.0
SanFrancisco_11082022_BoardofSupervisorsD8.csv,40.0,60.0
SanFrancisco_11062012_BoardofSupervisorsDistrict5.csv,0.0,100.0
SanFrancisco_11052019_DistrictAttorney.csv,30.9,69.1
SanFrancisco_11052019_PublicDefender.csv,100.0,0.0
SanFrancisco_11022004_BoardofSupervisorsDistrict2.csv,0.0,100.0
SanFrancisco_11022004_BoardofSupervisorsDistrict3.csv,0.0,100.0
SanFrancisco_11052024_DistrictAttorney.csv,30.9,69.1
SanFrancisco_11072006_BoardofSupervisorsDistrict8.csv,0.0,100.0
SanFrancisco_11062012_BoardofSupervisorsDistrict7.csv,0.0,100.0
SanFrancisco_11082016_BoardofSupervisorsDistrict11.csv,0.0,100.0
SanFrancisco_11022004_BoardofSupervisorsDistrict5.csv,0.0,100.0
SanFrancisco_11082005_Treasurer.csv,0.0,100.0
SanFrancisco_11022004_BoardofSupervisorsDistrict7.csv,0.0,100.0
SanFrancisco_11062007_Mayor.csv,0.0,100.0
SanFrancisco_11072006_BoardofSupervisorsDistrict10.csv,0.0,100.0
SanFrancisco_11082011_Mayor.csv,0.0,100.0
SanFrancisco_11082011_DistrictAttorney.csv,0.0,100.0
SanFrancisco_11052019_Sheriff.csv,100.0,0.0
SanFrancisco_11062018_PublicDefender.csv,100.0,0.0
